ID,Title,Location,Salary,Summary
job_85cb289f62e9465b,Event Ambassador,,,acquire new supporters by promoting and retaining a long- term relationship with existing supporters. · Actively involved...
job_14971f59416c49c0,Legal Counsel,,,threats and opportunities. Implement and execute short to long term strategies to address such threats and opportunities...
job_cbf634d3764c09d2,Field Service Channel Sales,,,handling tactical items while keeping sight of longer term strategic goals Strong collaborative skills to work across...
job_63a76b86890fe41b,Senior Analytics Strategist,,,robust and accurate pipeline and forecast · Develop long- term strategic relationships with key accounts · Work closely...
job_21ba056946e5abdf,"Solutions Architect - AMAZON Web Services, Korea",,,managers within your larger organization when discussing mid- term customer strategy and architectural best practices · We...
job_b437dbf9f57c9723,C.S.Representative I,,,"책임감과 성실성 전화를 통한 고객 응대, 상담 경력 필수 We are proud to have a long- term bonding with our employees: More than 30% of our employees..."
job_b445a441b610d648,Finance Head – Korea & ANZ,,,commercial contracts... best way to build long- term growth Define and influence together... country lead...
job_71a13fd4c4e12fd4,"Head of Marketing Korea, APJ Public Sector Marketing",,,appropriate strategic investments while maintaining the short- term delivery of leads; metrics/ROI focused and knows how...
job_558d5c687a9c0220,Private Wireless Campus Sales Manager,,,"customers and partners to gain customer insights, create a long- term sales strategy per account and become knowledgeable..."
job_d507148423f37d32,Planning Manager,,,core to our business and key to our long- term success. JOB PURPOSE... position... season analysis and long- term strategies...
job_3a14bd392db8df1a,"Technical Account Mgr - Comms, Electronics and Semiconductor",,,projects... unique workflows Build and maintain long term relationships with customer decision makers and end users...
job_f3032f72a38e5aff,Sr. Application Engineer Consultant - HAV,,,build and improve customer relationships to ensure long term customer satisfaction and become the go-to expert for all...
job_7cb50b7187152bc1,Project Development Manager – South Korea,,,model user-level skills required Ability to forge long term professional relationships with third parties Qualifications...
job_5113ba7fb4339b6e,Supplier Manager,,,strategies based on business market intelligence long- term analysis... commodity... supply ecosystem. Acquires...
job_0c6eacd1e9c11fa0,[BP&OPS] Deal Value Engineer,,,delivered... customer and protects the global and long- term economy... deal. He/she is a key enabler to structure...
job_30e17a7d8ce9d4d4,Software Engineer,,,UJET developer community Contribute... vision and long- term strategy in your domain of expertise Find ways to spread...
job_5e3c43d2dceee68b,"Representative, Businesss Services",,,"statements and projections Working knowledge of short and long term budgeting and forecasting, rolling budgets, and product..."
job_892d2f57d4870e59,[Richemont Group] AR Accountant (Fixed Contract),,,"AR Accountant (Fixed Contract) Richemont Seoul, 11, KR Fixed Term Richemont owns some... world’s leading luxury goods..."
job_72c1960dbfb07800,"Team Captain, Authentication and Quality Assurance",,,responsibility... ensure staffing is aligned... near term and future business to support the labor requirements...
job_3ae73b094ebd696b,Junior Innovation Advisor,,,"strong interpersonal skills and ability to create positive, long- term working relationships by demonstrating a commitment..."
job_44f4f9ebdf9a0273,Head of OFF Premise (Seoul) with Distribution Partner,,,"Premise vision, long term plan, annual... Partnerships that generate long term value for Red Bull, Customers and Consumers..."
job_32627c734b57ab54,Cybersecurity Consultant,,,"support our customers to transition and realize... long- term strategic goals sustainably, and collectively contributing..."
job_8d4862832dc32a8b,"Sr. Analyst, FP&A - Korea",,,assess financial return... business... mid-long term Ad-hoc duties/projects as assigned (eg. Review meeting...
job_547a37556dcdacfb,"Territory Account Manager - Seoul, Korea",,,sales plans in line with assigned revenue targets and long term growth at specific key accounts. Ensure annual sales plans...
job_9ef52106850ad045,Jr. Clinical Marketing Manager,,,actively invest in our team members to support... long- term growth so they can continue to advance our mission and achieve...
job_b34b2ae7173ba73d,Staff Sales Specialist,,,Responsible for managing Data of Annual Revenue Plan /long- Term-Revenue Forecast/Quarterly Business Review. getting below...
job_0f172ffa77824a14,"Specialist, Relationship Management - Asset Servicing",,,"client, advising... best way to achieve short- and long- term strategic objectives. From a global, bank-wide perspective..."
job_234e7fdbed3f024e,Business Development Expert,,,"trends and customer needs, building a short/medium/long- term sales pipeline in accordance with targets Develop strategies..."
job_2c64053ec7ceb55a,"Cloud Economics BDM, Migration and Modernization",,,have a demonstrated ability to think strategically and long- term about the needs of complex global businesses. The ideal...
job_c384c508b2c534bf,"Business Development Manager -- Funding, Asian Market",,,devise solutions Coordinate and help finalize investor-facing term sheets based... needs of all parties Facilitate...
job_08dfa54b94d5e3fc,"Director, Business Development - Korea (Remote)",,,"market strategy including... limited to a short and long- term account and agency plan, a staffing plan that supports..."
job_67b89c98e80a4f55,Business Development Executive,,,"well as build strong value-driven & profitable long- term business... Business Development Executive, you... Develop..."
job_ee50a5175ef0d137,Principal Field Service Specialist,,,"fill a long- term position... Global... test. Interface with customers on short- term and long- term technical, operational..."
job_d00abea2cba9bd0a,Sr. Specialist Custom Club Sales(Fitter),,,Dep't mission - Development and execution of mid & long term Custom-Fitting Business - Provides the administrative tasks...
job_43db48a2739e30dc,Recruiter,,,"pay only for what they use... up-front expenses or long- term commitments, making AWS the most cost-effective, flexible..."
job_62b10dfb366b175b,[Richemont Group] GL Accountant (Fixed Contract),,,"GL Accountant (Fixed Contract) Richemont Seoul, 11, KR Fixed Term Richemont owns some... world’s leading luxury goods..."
